Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MHW048_R2_001	MHW048_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50261452.0	0.0	150.0	47.0	80.74222618741854	150.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	fail	warn
MHW049_R1_001	MHW049_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45889877.0	0.0	150.0	46.0	81.11155380042338	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	warn
MHW049_R2_001	MHW049_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45889877.0	0.0	150.0	47.0	81.00881800873336	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	warn
MHW050_R1_001	MHW050_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45503958.0	0.0	150.0	46.0	80.64525523069878	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail	warn
MHW050_R2_001	MHW050_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45503958.0	0.0	150.0	48.0	80.03607183928929	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	warn
MHW051_R1_001	MHW051_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52825374.0	0.0	150.0	46.0	81.86069140965677	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	warn
MHW051_R2_001	MHW051_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52825374.0	0.0	150.0	46.0	81.52757479117876	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	warn
MHW052_R1_001	MHW052_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50704060.0	0.0	150.0	46.0	81.76103601492653	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
MHW052_R2_001	MHW052_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50704060.0	0.0	150.0	46.0	81.45815639787128	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW053_R1_001	MHW053_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51608854.0	0.0	150.0	46.0	80.93821117258277	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
MHW053_R2_001	MHW053_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51608854.0	0.0	150.0	47.0	80.73832834090611	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW054_R1_001	MHW054_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55114699.0	0.0	150.0	46.0	81.32845355701065	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
MHW054_R2_001	MHW054_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55114699.0	0.0	150.0	47.0	81.27747668197148	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW055_R1_001	MHW055_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49033779.0	0.0	150.0	46.0	81.27833213755017	150.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
MHW055_R2_001	MHW055_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49033779.0	0.0	150.0	47.0	81.23696806781842	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	fail	pass
MHW056_R1_001	MHW056_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54243480.0	0.0	150.0	46.0	82.64874337349983	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
MHW056_R2_001	MHW056_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54243480.0	0.0	150.0	46.0	82.26954158349076	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW057_R1_001	MHW057_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50620365.0	0.0	150.0	46.0	82.89028676418009	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
MHW057_R2_001	MHW057_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50620365.0	0.0	150.0	46.0	82.48561783601532	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW058_R1_001	MHW058_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52463182.0	0.0	150.0	46.0	81.2753015672643	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
MHW058_R2_001	MHW058_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52463182.0	0.0	150.0	47.0	80.34519135414851	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW059_R1_001	MHW059_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53749942.0	0.0	150.0	46.0	82.27733104059314	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	warn	warn
MHW059_R2_001	MHW059_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53749942.0	0.0	150.0	46.0	82.06364481536013	150.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	warn	warn
MHW060_R1_001	MHW060_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53549582.0	0.0	150.0	46.0	81.83590340482357	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
MHW060_R2_001	MHW060_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53549582.0	0.0	150.0	47.0	81.5382685202336	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW061_R1_001	MHW061_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52572585.0	0.0	150.0	46.0	82.07567256744126	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
MHW061_R2_001	MHW061_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52572585.0	0.0	150.0	46.0	81.7186598185843	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail	pass
MHW062_R1_001	MHW062_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55925541.0	0.0	150.0	46.0	82.02673865322882	150.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass
MHW062_R2_001	MHW062_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55925541.0	0.0	150.0	46.0	81.82869392582481	150.0	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass
